timestamp,src_ip,method,uri,status_code,user_agent
2025-07-14 05:26:04,185.199.108.153,POST,/cart,301,Mozilla/5.0
2025-07-14 11:15:04,10.0.0.2,HEAD,/forgot-password,500,curl/7.68.0
2025-07-14 12:54:04,185.199.108.153,GET,/register,403,Googlebot
2025-07-14 22:46:04,185.199.108.153,HEAD,/settings,500,Nmap Scripting Engine
2025-07-14 10:06:04,203.0.113.5,HEAD,/settings,302,Edge/91.0
2025-07-14 05:31:04,198.51.100.10,HEAD,/login,500,Edge/91.0
2025-07-14 20:10:04,185.199.108.153,HEAD,/settings,403,curl/7.68.0
2025-07-14 14:53:04,10.10.10.10,GET,/?id=1,403,Mozilla/5.0
2025-07-14 11:09:04,172.16.0.3,POST,/api/data,403,Mozilla/5.0
2025-07-15 03:22:04,10.10.10.10,GET,/checkout,200,Mozilla/5.0
2025-07-14 04:01:04,10.10.10.10,HEAD,/register,500,PostmanRuntime/7.26.8
2025-07-14 14:02:04,10.0.0.2,GET,/register,200,curl/7.68.0
2025-07-14 17:33:04,192.168.1.4,HEAD,/forgot-password,403,curl/7.68.0
2025-07-14 18:54:04,192.168.1.4,HEAD,/register,301,curl/7.68.0
2025-07-14 08:58:04,185.199.108.153,HEAD,/search?q=select,404,wget/1.20.3
2025-07-14 16:27:04,192.168.1.4,GET,/search?q=select,403,Edge/91.0
2025-07-15 02:41:04,185.199.108.153,POST,/forgot-password,404,Edge/91.0
2025-07-15 03:09:04,192.168.1.1,POST,/api/data,403,curl/7.68.0
2025-07-14 05:29:04,192.168.1.4,HEAD,/products,500,Edge/91.0
2025-07-14 14:12:04,192.168.1.1,GET,/?id=1,404,Mozilla/5.0
2025-07-14 22:41:04,10.0.0.2,GET,/contact,401,Mozilla/5.0
2025-07-14 16:30:04,10.0.0.2,GET,/index.html,500,wget/1.20.3
2025-07-14 17:48:04,192.0.2.20,HEAD,/api/data,301,wget/1.20.3
2025-07-14 21:42:04,192.0.2.20,GET,/api/data,301,wget/1.20.3
2025-07-14 19:40:04,192.0.2.20,HEAD,/?id=1,302,Googlebot
2025-07-14 21:57:04,198.51.100.10,HEAD,/cart,401,Edge/91.0
2025-07-14 19:02:04,198.51.100.10,POST,/api/data,200,wget/1.20.3
2025-07-14 06:23:04,104.28.1.1,HEAD,/cart,500,PostmanRuntime/7.26.8
2025-07-14 12:20:04,10.10.10.10,POST,/api/data,403,Edge/91.0
2025-07-15 01:29:04,192.168.1.1,HEAD,/user/profile,200,curl/7.68.0
2025-07-14 22:11:04,192.0.2.20,HEAD,/register,500,Mozilla/5.0
2025-07-14 16:02:04,10.0.0.2,GET,/cart,404,Nmap Scripting Engine
2025-07-14 08:32:04,104.28.1.1,HEAD,/register,500,curl/7.68.0
2025-07-14 11:42:04,10.10.10.10,POST,/checkout,404,PostmanRuntime/7.26.8
2025-07-15 00:12:04,192.168.1.1,POST,/login,401,curl/7.68.0
2025-07-14 19:59:04,192.0.2.20,POST,/checkout,401,curl/7.68.0
2025-07-15 02:16:04,185.199.108.153,HEAD,/admin,401,Googlebot
2025-07-14 16:15:04,10.0.0.2,POST,/checkout,404,Nmap Scripting Engine
2025-07-14 22:11:04,10.10.10.10,POST,/user/profile,401,Edge/91.0
2025-07-14 22:08:04,203.0.113.5,GET,/index.html,401,wget/1.20.3
2025-07-14 19:03:04,192.168.1.4,POST,/admin,500,Safari/537.36
2025-07-14 11:16:04,10.0.0.2,POST,/?id=1,500,Mozilla/5.0
2025-07-15 02:12:04,192.168.1.1,GET,/admin,404,Safari/537.36
2025-07-14 21:10:04,192.0.2.20,GET,/dashboard,403,PostmanRuntime/7.26.8
2025-07-14 17:14:04,192.0.2.20,POST,/search?q=select,401,PostmanRuntime/7.26.8
2025-07-14 08:46:04,192.0.2.20,POST,/login,301,Googlebot
2025-07-14 15:11:04,198.51.100.10,GET,/user/profile,302,Edge/91.0
2025-07-14 19:26:04,104.28.1.1,POST,/?id=1,500,Nmap Scripting Engine
2025-07-15 02:39:04,192.0.2.20,GET,/forgot-password,200,wget/1.20.3
2025-07-14 13:55:04,104.28.1.1,GET,/cart,500,Edge/91.0
2025-07-14 11:09:04,203.0.113.5,HEAD,/forgot-password,200,Safari/537.36
2025-07-14 19:37:04,192.168.1.1,HEAD,/?id=1,404,Nmap Scripting Engine
2025-07-14 12:29:04,10.10.10.10,HEAD,/dashboard,500,Nmap Scripting Engine
2025-07-14 20:56:04,198.51.100.10,POST,/products,500,Nmap Scripting Engine
2025-07-15 02:24:04,192.168.1.4,POST,/forgot-password,301,Safari/537.36
2025-07-14 17:13:04,172.16.0.3,POST,/admin,401,Googlebot
2025-07-14 16:55:04,10.0.0.2,HEAD,/api/data,302,Nmap Scripting Engine
2025-07-15 00:15:04,192.168.1.1,GET,/settings,401,Googlebot
2025-07-15 01:59:04,192.168.1.4,POST,/products,200,Safari/537.36
2025-07-15 02:04:04,10.0.0.2,GET,/api/data,302,Googlebot
2025-07-14 09:04:04,172.16.0.3,HEAD,/cart,200,Nmap Scripting Engine
2025-07-15 02:07:04,192.0.2.20,POST,/products,302,Nmap Scripting Engine
2025-07-14 04:20:04,203.0.113.5,POST,/index.html,403,Googlebot
2025-07-14 18:18:04,203.0.113.5,HEAD,/checkout,301,Googlebot
2025-07-14 16:52:04,10.10.10.10,GET,/index.html,200,Nmap Scripting Engine
2025-07-14 14:09:04,203.0.113.5,POST,/products,302,Safari/537.36
2025-07-14 03:57:04,172.16.0.3,POST,/cart,401,curl/7.68.0
2025-07-14 18:38:04,185.199.108.153,GET,/cart,200,curl/7.68.0
2025-07-15 03:10:04,10.10.10.10,HEAD,/?id=1,404,wget/1.20.3
2025-07-14 09:41:04,104.28.1.1,HEAD,/search?q=select,301,Edge/91.0
2025-07-14 23:00:04,185.199.108.153,GET,/user/profile,404,Safari/537.36
2025-07-14 04:04:04,203.0.113.5,POST,/settings,302,Googlebot
